"age","age_o","samerace","importance_same_race","importance_same_religion","pref_o_attractive","pref_o_sincere","pref_o_intelligence","pref_o_funny","pref_o_ambitious","pref_o_shared_interests","attractive_o","sinsere_o","intelligence_o","funny_o","ambitous_o","shared_interests_o","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important","attractive","sincere","intelligence","funny","ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","shared_interests_partner","interests_correlate","like","guess_prob_liked","met","decision","match"
21,23,0,2,4,30,5,15,40,5,5,7,8,9,8,9,8,15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,8,0.61,7,6,0,1,1
21,24,0,2,4,30,10,20,10,10,20,8,7,9,6,9,7,15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,6,0.21,6,6,0,1,1
21,28,0,2,4,50,0,25,10,0,15,7,7,8,8,8,9,15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,8,0.28,7,7,0,1,1
24,23,1,2,5,30,5,15,40,5,5,9,9,9,9,9,9,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,-0.21,7,8,0,1,1
24,28,1,2,5,50,0,25,10,0,15,8,6,9,9,8,7,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,0.11,5,6,0,1,1
23,23,1,1,1,30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,-0.18,8,10,1,1,1
23,28,1,1,1,50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,-0.47,8,8,0,1,1
21,23,1,8,1,30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,9,0.08,8,2,1,1,1
21,28,1,8,1,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,-0.13,9,4,0,1,1
23,23,0,1,1,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,0.12,9,4,0,1,1
23,28,0,1,1,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,0.46,9,6,0,1,1
22,23,0,2,4,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,-0.46,8,6,1,1,1
22,28,0,2,4,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,-0.34,6,6,0,1,1
25,22,1,1,1,60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,7,-0.11,8,7,0,1,1
25,22,0,1,1,19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,7,0.42,5,5,0,1,1
25,23,1,1,1,30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,5,-0.4,5,6,0,1,1
25,25,1,1,1,50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,0.28,6,5,0,1,1
25,27,1,1,1,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,6,7,4,5,6,0.17,5,4,0,1,1
25,28,1,1,1,50,0,25,10,0,15,8,7,8,10,8,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,8,5,9,8,9,-0.47,7,10,0,1,1
25,24,1,1,1,100,0,0,0,0,0,8,10,9,9,8,8,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,7,6,8,7,9,8,-0.21,8,7,0,1,1
26,22,0,1,1,60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,0.03,10,5,0,1,1
